#id_idx0	inner_vert_id	outer_vert_id	key_ldmk	rigid_ldmk	rigid_pivot	left_right	pair
0	39	774	-	-	-	L	16
1	2866	2857	-	-	-	L	15
2	2906	769	-	-	-	L	14
3	2908	2901	-	-	-	L	13
4	2898	2904	-	-	-	L	12
5	2873	2894	-	-	-	L	11
6	3303	3301	-	-	-	L	10
7	3269	3270	-	-	-	L	9
8	1222	1222	-	-	-	M	8
9	1225	1224	-	-	-	R	7
10	1257	1255	-	-	-	R	6
11	811	829	-	-	-	R	5
12	827	833	-	-	-	R	4
13	841	834	-	-	-	R	3
14	839	1511	-	-	-	R	2
15	798	789	-	-	-	R	1
16	1809	1505	-	-	-	R	0
17	2732	2732	K	-	-	L	26
18	2726	2726	K	-	-	L	25
19	2725	2725	K	-	-	L	24
20	72	72	K	-	-	L	23
21	94	94	K	-	-	L	22
22	1752	1752	K	-	-	R	21
23	1779	1779	K	-	-	R	20
24	696	696	K	-	-	R	19
25	693	693	K	-	-	R	18
26	702	702	K	-	-	R	17
27	1708	1708	K	R	M	M	27
28	1707	1707	K	R	-	M	28
29	1420	1420	K	R	-	M	29
30	1428	1428	K	R	-	M	30
31	2989	2989	K	R	-	L	35
32	3134	3134	K	R	-	L	34
33	991	991	K	R	-	M	33
34	1077	1077	K	R	-	R	32
35	915	915	K	R	-	R	31
36	2412	2412	K	R	L	L	45
37	2429	2429	K	-	-	L	44
38	2521	2521	K	-	-	L	43
39	2513	2513	K	R	-	L	42
40	2194	2194	K	R	-	L	47
41	2273	2273	K	R	-	L	46
42	452	452	K	R	-	R	39
43	461	461	K	-	-	R	38
44	366	366	K	-	-	R	37
45	352	352	K	R	R	R	36
46	212	212	K	R	-	R	41
47	134	134	K	R	-	R	40
48	3191	3191	K	-	-	L	54
49	3161	3161	K	-	-	L	53
50	3154	3154	K	-	-	L	52
51	1097	1097	K	-	-	M	51
52	1102	1102	K	-	-	R	50
53	1104	1104	K	-	-	R	49
54	1137	1137	K	-	-	R	48
55	1321	1321	K	-	-	R	59
56	1478	1478	K	-	-	R	58
57	1480	1480	K	-	-	M	57
58	2798	2798	K	-	-	L	56
59	3366	3366	K	-	-	L	55
60	3212	3212	K	-	-	L	64
61	3084	3084	K	-	-	L	63
62	1025	1025	K	-	-	M	62
63	1030	1030	K	-	-	R	61
64	1162	1162	K	-	-	R	60
65	1453	1453	K	-	-	R	67
66	1444	1444	K	-	-	M	66
67	2819	2819	K	-	-	L	65
